Sentence	Question	Source	Text
S1	Q1	Human	A linguistic corpus often contains a broad set of linguistic information on a variety of topics, while datasets in other fields are specific to certain instances and can be quantitative rather than linguistic. 
S2	Q1	Human	A linguistic corpus is compiled texts or speech that serve to answer questions about linguistic phenomena.
S3	Q1	Human	A linguistic corpus is generally constituted of a collection of curated linguistic data from a variety of written and (sometimes) spoken language sources for a multitude of purposes; which is contrary to the datasets of other fields in that they are generally constituted of numerical or semantic data for a specific or limited purpose.
S4	Q1	AI	A linguistic corpus is a collection of language data that is specifically designed for linguistic analysis, whereas a dataset in other fields may refer to any structured collection of data used for analysis or machine learning purposes.
S5	Q1	AI	A linguistic corpus is a collection of authentic language data designed for linguistic analysis, while a dataset in other fields refers to a structured collection of data used for various analytical or machine learning purposes.
S6	Q1	AI	A linguistic corpus is a collection of texts used for linguistic analysis, while a dataset in other fields is a collection of data used for statistical analysis or machine learning.
S7	Q2	Human	I was very interested in the Brown Corpus because although it was initially a very cutting-edge corpus, I thought it was fascinating that the data it contained is not adequate for many research questions in linguistics today, showing the growth of the field. 
S8	Q2	Human	The megacorpora stood out to me because of their sheer impressiveness; of these COCA stood out to me due to its claim at being the most "representative" corpus of English.
S9	Q2	Human	Switchboard Dialog Act Corpus because it seems to be entirely spoken data of telephone conversations as opposed to being mainly text. This could also allow for more natural use of the language than in text. 
S10	Q2	AI	The British National Corpus (BNC) is an important and widely used corpus in linguistics because of its size, diversity of text types, and balanced representation of spoken and written language.
S11	Q2	AI	Among the corpora mentioned in Chapter 2, the British National Corpus stood out due to its large and diverse collection of written and spoken texts from the late 20th century, making it a valuable resource for studying contemporary English language usage.
S12	Q2	AI	The Brown Corpus is considered a groundbreaking corpus in computational linguistics due to its representativeness and availability.
S13	Q3	Human	I think that the Brown Corpus was initially created with the lofty goal of serving as a definitive collection of texts and linguistic information that could be used for research, and although it has not maintained its position as a definitive source, it is still useful for linguistic research even in the modern era. 
S14	Q3	Human	As I implied, COCA was created to be the most "representative" corpus of English and thus purposefully includes specific proportions of different kinds of media to maximize its representativeness of all English that is produced.
S15	Q3	Human	Allows for more natural use of the language in a spoken context than simply having people write out their conversations or obtaining data from their written texts. 
S16	Q3	AI	The creation of the Brown Corpus was motivated by the need for a representative sample of American English language usage for linguistic research and computational analysis.
S17	Q3	AI	The creation of the corpus may have been motivated by a desire to provide a reliable and up-to-date representation of the English language as it is used in various contexts in Britain.
S18	Q3	AI	The creation of the corpus may have been motivated by a desire to document the diversity and evolution of British English language usage across different registers, genres, and social groups for various linguistic and practical purposes.
S19	Q4	Human	Even in the same language, there can be a variety of different dialects and ways of using the language, and when creating a corpus there is a lot of discretion used when choosing sources, meaning that there are a nearly infinite number of different source combinations that corpora can utilize which leads to differences. 
